text,intent,entities
Precipitation forecast for here,precipitation_query,{'location': 'here'}
"Which is warmer, Seoul or Moscow?",weather_comparison,"{'location1': 'Seoul', 'location2': 'Moscow'}"
Compare weather in Amsterdam and Sydney,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Sydney'}"
Weather contrast between Seoul and Moscow,weather_comparison,"{'location1': 'Seoul', 'location2': 'Moscow'}"
"Which is warmer, my location or New York?",weather_comparison,"{'location1': 'my location', 'location2': 'New York'}"
"Which is warmer, London or Toronto?",weather_comparison,"{'location1': 'London', 'location2': 'Toronto'}"
Temperature comparison between Sydney and my location,weather_comparison,"{'location1': 'Sydney', 'location2': 'my location'}"
Weather outlook for Seoul,weather_forecast,{'location': 'Seoul'}
"Which is colder, Mumbai or here?",weather_comparison,"{'location1': 'Mumbai', 'location2': 'here'}"
"Which is colder, Paris or Dubai?",weather_comparison,"{'location1': 'Paris', 'location2': 'Dubai'}"
Weather comparison between Sydney and Mumbai,weather_comparison,"{'location1': 'Sydney', 'location2': 'Mumbai'}"
What's the weather difference between Moscow and New York?,weather_comparison,"{'location1': 'Moscow', 'location2': 'New York'}"
Temperature comparison between Sydney and Paris,weather_comparison,"{'location1': 'Sydney', 'location2': 'Paris'}"
Temperature reading for current location,temperature_query,{'location': 'current location'}
What's the weather right now in Moscow?,current_weather,{'location': 'Moscow'}
Will it drizzle in Sydney?,precipitation_query,{'location': 'Sydney'}
Temperature comparison between my location and Berlin,weather_comparison,"{'location1': 'my location', 'location2': 'Berlin'}"
Weather outlook for Amsterdam,weather_forecast,{'location': 'Amsterdam'}
Weather comparison between Berlin and San Francisco,weather_comparison,"{'location1': 'Berlin', 'location2': 'San Francisco'}"
"Which is colder, Mumbai or Toronto?",weather_comparison,"{'location1': 'Mumbai', 'location2': 'Toronto'}"
Weather difference between New York and Amsterdam,weather_comparison,"{'location1': 'New York', 'location2': 'Amsterdam'}"
"Which is colder, here or Singapore?",weather_comparison,"{'location1': 'here', 'location2': 'Singapore'}"
"Which is warmer, Sydney or Mumbai?",weather_comparison,"{'location1': 'Sydney', 'location2': 'Mumbai'}"
"Which city has better weather, Moscow or Amsterdam?",weather_comparison,"{'location1': 'Moscow', 'location2': 'Amsterdam'}"
Temperature comparison between London and Seoul,weather_comparison,"{'location1': 'London', 'location2': 'Seoul'}"
Compare temperatures in Sydney and Toronto,weather_comparison,"{'location1': 'Sydney', 'location2': 'Toronto'}"
How does the weather in Dubai compare to Seoul?,weather_comparison,"{'location1': 'Dubai', 'location2': 'Seoul'}"
Weather contrast between Toronto and Dubai,weather_comparison,"{'location1': 'Toronto', 'location2': 'Dubai'}"
"Which is warmer, New York or here?",weather_comparison,"{'location1': 'New York', 'location2': 'here'}"
"Which city has better weather, San Francisco or my location?",weather_comparison,"{'location1': 'San Francisco', 'location2': 'my location'}"
Compare weather in Rome and here,weather_comparison,"{'location1': 'Rome', 'location2': 'here'}"
What's the snow forecast for Mumbai?,precipitation_query,{'location': 'Mumbai'}
Weather difference between Rome and Moscow,weather_comparison,"{'location1': 'Rome', 'location2': 'Moscow'}"
Weather difference between Seoul and Moscow,weather_comparison,"{'location1': 'Seoul', 'location2': 'Moscow'}"
Is it raining in Seoul?,current_weather,{'location': 'Seoul'}
How do temperatures compare in Rome and Berlin?,weather_comparison,"{'location1': 'Rome', 'location2': 'Berlin'}"
What's the weather difference between New York and Dubai?,weather_comparison,"{'location1': 'New York', 'location2': 'Dubai'}"
How do temperatures compare in Rome and Seoul?,weather_comparison,"{'location1': 'Rome', 'location2': 'Seoul'}"
"Which is colder, Rome or Seoul?",weather_comparison,"{'location1': 'Rome', 'location2': 'Seoul'}"
How does the weather in Singapore compare to my location?,weather_comparison,"{'location1': 'Singapore', 'location2': 'my location'}"
What's the temperature in Paris?,temperature_query,{'location': 'Paris'}
Weather comparison: my location versus Berlin,weather_comparison,"{'location1': 'my location', 'location2': 'Berlin'}"
Weather difference between Singapore and Toronto,weather_comparison,"{'location1': 'Singapore', 'location2': 'Toronto'}"
Weather conditions in Sydney,current_weather,{'location': 'Sydney'}
Compare weather in here and Singapore,weather_comparison,"{'location1': 'here', 'location2': 'Singapore'}"
"Which city has better weather, Seoul or London?",weather_comparison,"{'location1': 'Seoul', 'location2': 'London'}"
Weather comparison: Toronto versus Tokyo,weather_comparison,"{'location1': 'Toronto', 'location2': 'Tokyo'}"
Compare weather in New York and Mumbai,weather_comparison,"{'location1': 'New York', 'location2': 'Mumbai'}"
Forecast for Moscow,weather_forecast,{'location': 'Moscow'}
Weather comparison between Amsterdam and Dubai,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Dubai'}"
How's the weather different in Singapore vs Toronto?,weather_comparison,"{'location1': 'Singapore', 'location2': 'Toronto'}"
Temperature comparison between Seoul and Moscow,weather_comparison,"{'location1': 'Seoul', 'location2': 'Moscow'}"
How's the weather today in Sydney?,current_weather,{'location': 'Sydney'}
What's it like outside in Berlin?,current_weather,{'location': 'Berlin'}
What's the weather difference between Moscow and Paris?,weather_comparison,"{'location1': 'Moscow', 'location2': 'Paris'}"
Temperature comparison between here and Rome,weather_comparison,"{'location1': 'here', 'location2': 'Rome'}"
Weather comparison: New York versus Sydney,weather_comparison,"{'location1': 'New York', 'location2': 'Sydney'}"
Weather comparison between current location and here,weather_comparison,"{'location1': 'current location', 'location2': 'here'}"
What's the weather difference between here and Berlin?,weather_comparison,"{'location1': 'here', 'location2': 'Berlin'}"
Weather difference between Toronto and Tokyo,weather_comparison,"{'location1': 'Toronto', 'location2': 'Tokyo'}"
How do temperatures compare in Seoul and Mumbai?,weather_comparison,"{'location1': 'Seoul', 'location2': 'Mumbai'}"
Compare current conditions in current location and Rome,weather_comparison,"{'location1': 'current location', 'location2': 'Rome'}"
How's the weather different in Mumbai vs San Francisco?,weather_comparison,"{'location1': 'Mumbai', 'location2': 'San Francisco'}"
Temperature comparison between London and current location,weather_comparison,"{'location1': 'London', 'location2': 'current location'}"
Compare weather in current location and San Francisco,weather_comparison,"{'location1': 'current location', 'location2': 'San Francisco'}"
What's the weather difference between my location and Seoul?,weather_comparison,"{'location1': 'my location', 'location2': 'Seoul'}"
What's the mercury reading in here?,temperature_query,{'location': 'here'}
Temperature comparison between my location and New York,weather_comparison,"{'location1': 'my location', 'location2': 'New York'}"
Weather comparison: my location versus London,weather_comparison,"{'location1': 'my location', 'location2': 'London'}"
Compare temperatures in Singapore and Moscow,weather_comparison,"{'location1': 'Singapore', 'location2': 'Moscow'}"
Compare temperatures in here and current location,weather_comparison,"{'location1': 'here', 'location2': 'current location'}"
Weather contrast between Amsterdam and here,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'here'}"
"Which is warmer, Paris or my location?",weather_comparison,"{'location1': 'Paris', 'location2': 'my location'}"
How's the weather different in here vs New York?,weather_comparison,"{'location1': 'here', 'location2': 'New York'}"
Temperature comparison between Moscow and Sydney,weather_comparison,"{'location1': 'Moscow', 'location2': 'Sydney'}"
How does the weather in Mumbai compare to Rome?,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Rome'}"
Compare temperatures in Paris and Berlin,weather_comparison,"{'location1': 'Paris', 'location2': 'Berlin'}"
What's the weather going to be like in Dubai next week?,weather_forecast,{'location': 'Dubai'}
Weather contrast between Moscow and Rome,weather_comparison,"{'location1': 'Moscow', 'location2': 'Rome'}"
Tell me about today's weather in Mumbai,current_weather,{'location': 'Mumbai'}
What's the weather going to be like in New York tomorrow?,weather_forecast,{'location': 'New York'}
What's the temperature in Berlin?,current_weather,{'location': 'Berlin'}
Weather comparison between Sydney and Seoul,weather_comparison,"{'location1': 'Sydney', 'location2': 'Seoul'}"
What's the temperature in here?,current_weather,{'location': 'here'}
Weather difference between San Francisco and my location,weather_comparison,"{'location1': 'San Francisco', 'location2': 'my location'}"
Compare temperatures in Dubai and London,weather_comparison,"{'location1': 'Dubai', 'location2': 'London'}"
Temperature comparison between Seoul and Toronto,weather_comparison,"{'location1': 'Seoul', 'location2': 'Toronto'}"
What's the weather going to be like this week in Dubai?,weather_forecast,{'location': 'Dubai'}
How does the weather in London compare to New York?,weather_comparison,"{'location1': 'London', 'location2': 'New York'}"
How does the weather in Seoul compare to Mumbai?,weather_comparison,"{'location1': 'Seoul', 'location2': 'Mumbai'}"
Compare weather in here and current location,weather_comparison,"{'location1': 'here', 'location2': 'current location'}"
Compare current conditions in Rome and my location,weather_comparison,"{'location1': 'Rome', 'location2': 'my location'}"
Weather comparison between San Francisco and current location,weather_comparison,"{'location1': 'San Francisco', 'location2': 'current location'}"
Compare current conditions in London and Singapore,weather_comparison,"{'location1': 'London', 'location2': 'Singapore'}"
Weather difference between Seoul and Tokyo,weather_comparison,"{'location1': 'Seoul', 'location2': 'Tokyo'}"
How does the weather in Seoul compare to San Francisco?,weather_comparison,"{'location1': 'Seoul', 'location2': 'San Francisco'}"
"Which is colder, San Francisco or current location?",weather_comparison,"{'location1': 'San Francisco', 'location2': 'current location'}"
Weather comparison: Mumbai versus Paris,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Paris'}"
Compare weather in Rome and San Francisco,weather_comparison,"{'location1': 'Rome', 'location2': 'San Francisco'}"
What's the weather prediction for Rome?,weather_forecast,{'location': 'Rome'}
Weather comparison between Dubai and San Francisco,weather_comparison,"{'location1': 'Dubai', 'location2': 'San Francisco'}"
Weather contrast between San Francisco and Mumbai,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Mumbai'}"
Temperature comparison between Singapore and Dubai,weather_comparison,"{'location1': 'Singapore', 'location2': 'Dubai'}"
"Which city has better weather, London or Mumbai?",weather_comparison,"{'location1': 'London', 'location2': 'Mumbai'}"
What's the weather difference between Rome and Dubai?,weather_comparison,"{'location1': 'Rome', 'location2': 'Dubai'}"
Weather comparison between my location and San Francisco,weather_comparison,"{'location1': 'my location', 'location2': 'San Francisco'}"
Temperature conditions in Singapore,temperature_query,{'location': 'Singapore'}
Compare current conditions in my location and Singapore,weather_comparison,"{'location1': 'my location', 'location2': 'Singapore'}"
Weather difference between Tokyo and Rome,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Rome'}"
What's the temperature going to be in Dubai?,temperature_query,{'location': 'Dubai'}
What's the weather like in Dubai?,current_weather,{'location': 'Dubai'}
Weather difference between Berlin and San Francisco,weather_comparison,"{'location1': 'Berlin', 'location2': 'San Francisco'}"
Weather comparison between Moscow and Mumbai,weather_comparison,"{'location1': 'Moscow', 'location2': 'Mumbai'}"
Tell me the weather forecast for Paris,weather_forecast,{'location': 'Paris'}
Compare temperatures in San Francisco and New York,weather_comparison,"{'location1': 'San Francisco', 'location2': 'New York'}"
Compare temperatures in here and Mumbai,weather_comparison,"{'location1': 'here', 'location2': 'Mumbai'}"
"Which is warmer, current location or Moscow?",weather_comparison,"{'location1': 'current location', 'location2': 'Moscow'}"
How does the weather in Moscow compare to Toronto?,weather_comparison,"{'location1': 'Moscow', 'location2': 'Toronto'}"
Weather difference between Toronto and Dubai,weather_comparison,"{'location1': 'Toronto', 'location2': 'Dubai'}"
Weather comparison: current location versus here,weather_comparison,"{'location1': 'current location', 'location2': 'here'}"
How does the weather in Toronto compare to Mumbai?,weather_comparison,"{'location1': 'Toronto', 'location2': 'Mumbai'}"
How's the weather looking in San Francisco?,current_weather,{'location': 'San Francisco'}
Will it rain today in London?,precipitation_query,{'location': 'London'}
"Hello, how can you help me?",general_greeting,{}
"Which city has better weather, Tokyo or London?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'London'}"
What's the weather prediction for Mumbai?,weather_forecast,{'location': 'Mumbai'}
Compare weather in San Francisco and Sydney,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Sydney'}"
"Which is warmer, London or Paris?",weather_comparison,"{'location1': 'London', 'location2': 'Paris'}"
How does the weather in Toronto compare to Singapore?,weather_comparison,"{'location1': 'Toronto', 'location2': 'Singapore'}"
How's the weather today in here?,current_weather,{'location': 'here'}
What's the current weather in Amsterdam?,current_weather,{'location': 'Amsterdam'}
"Which is colder, San Francisco or Seoul?",weather_comparison,"{'location1': 'San Francisco', 'location2': 'Seoul'}"
Compare current conditions in my location and Sydney,weather_comparison,"{'location1': 'my location', 'location2': 'Sydney'}"
Compare weather in Amsterdam and San Francisco,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'San Francisco'}"
Weather comparison between Paris and Moscow,weather_comparison,"{'location1': 'Paris', 'location2': 'Moscow'}"
"Which is warmer, my location or Singapore?",weather_comparison,"{'location1': 'my location', 'location2': 'Singapore'}"
"Which is colder, Amsterdam or Moscow?",weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Moscow'}"
What's the weather like in here?,current_weather,{'location': 'here'}
Compare weather in Singapore and Toronto,weather_comparison,"{'location1': 'Singapore', 'location2': 'Toronto'}"
Weather prediction for Tokyo,weather_forecast,{'location': 'Tokyo'}
"Which is colder, Dubai or current location?",weather_comparison,"{'location1': 'Dubai', 'location2': 'current location'}"
How does the weather in San Francisco compare to Seoul?,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Seoul'}"
How do temperatures compare in Tokyo and Singapore?,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Singapore'}"
Will it rain tomorrow in Singapore?,weather_forecast,{'location': 'Singapore'}
"Which is colder, Tokyo or Mumbai?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'Mumbai'}"
What's the mercury reading in current location?,temperature_query,{'location': 'current location'}
Weather difference between Dubai and Tokyo,weather_comparison,"{'location1': 'Dubai', 'location2': 'Tokyo'}"
Compare temperatures in San Francisco and here,weather_comparison,"{'location1': 'San Francisco', 'location2': 'here'}"
Weather comparison: New York versus San Francisco,weather_comparison,"{'location1': 'New York', 'location2': 'San Francisco'}"
Will it be sunny in Tokyo tomorrow?,weather_forecast,{'location': 'Tokyo'}
Weather difference between London and Tokyo,weather_comparison,"{'location1': 'London', 'location2': 'Tokyo'}"
"Which is warmer, my location or Berlin?",weather_comparison,"{'location1': 'my location', 'location2': 'Berlin'}"
Temperature comparison between San Francisco and New York,weather_comparison,"{'location1': 'San Francisco', 'location2': 'New York'}"
Temperature comparison between Amsterdam and Sydney,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Sydney'}"
What's the weather difference between Sydney and current location?,weather_comparison,"{'location1': 'Sydney', 'location2': 'current location'}"
Weather comparison: current location versus Mumbai,weather_comparison,"{'location1': 'current location', 'location2': 'Mumbai'}"
Temperature reading for Paris,temperature_query,{'location': 'Paris'}
Weather comparison between current location and New York,weather_comparison,"{'location1': 'current location', 'location2': 'New York'}"
How does the weather in Mumbai compare to London?,weather_comparison,"{'location1': 'Mumbai', 'location2': 'London'}"
Temperature comparison between Berlin and Paris,weather_comparison,"{'location1': 'Berlin', 'location2': 'Paris'}"
What's the weather difference between Toronto and Dubai?,weather_comparison,"{'location1': 'Toronto', 'location2': 'Dubai'}"
Compare current conditions in Singapore and Mumbai,weather_comparison,"{'location1': 'Singapore', 'location2': 'Mumbai'}"
What's the current temperature in Rome?,temperature_query,{'location': 'Rome'}
"Which is warmer, Tokyo or my location?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'my location'}"
How do temperatures compare in here and Berlin?,weather_comparison,"{'location1': 'here', 'location2': 'Berlin'}"
Weather comparison between Toronto and here,weather_comparison,"{'location1': 'Toronto', 'location2': 'here'}"
Compare temperatures in here and London,weather_comparison,"{'location1': 'here', 'location2': 'London'}"
Temperature comparison between current location and my location,weather_comparison,"{'location1': 'current location', 'location2': 'my location'}"
Weather difference between Seoul and my location,weather_comparison,"{'location1': 'Seoul', 'location2': 'my location'}"
How do temperatures compare in Dubai and Berlin?,weather_comparison,"{'location1': 'Dubai', 'location2': 'Berlin'}"
Temperature comparison between San Francisco and here,weather_comparison,"{'location1': 'San Francisco', 'location2': 'here'}"
Is it raining in Rome?,current_weather,{'location': 'Rome'}
Compare weather in Amsterdam and current location,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'current location'}"
Compare temperatures in Moscow and Rome,weather_comparison,"{'location1': 'Moscow', 'location2': 'Rome'}"
Temperature comparison between Toronto and Berlin,weather_comparison,"{'location1': 'Toronto', 'location2': 'Berlin'}"
What's the feels like temperature in Singapore?,temperature_query,{'location': 'Singapore'}
Weather difference between here and New York,weather_comparison,"{'location1': 'here', 'location2': 'New York'}"
"Which city has better weather, Tokyo or Moscow?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'Moscow'}"
Compare temperatures in Berlin and Mumbai,weather_comparison,"{'location1': 'Berlin', 'location2': 'Mumbai'}"
Compare temperatures in Sydney and Berlin,weather_comparison,"{'location1': 'Sydney', 'location2': 'Berlin'}"
Temperature comparison between Mumbai and San Francisco,weather_comparison,"{'location1': 'Mumbai', 'location2': 'San Francisco'}"
Weather contrast between Singapore and Moscow,weather_comparison,"{'location1': 'Singapore', 'location2': 'Moscow'}"
What's the weather difference between Singapore and New York?,weather_comparison,"{'location1': 'Singapore', 'location2': 'New York'}"
How do temperatures compare in Moscow and Seoul?,weather_comparison,"{'location1': 'Moscow', 'location2': 'Seoul'}"
How does the weather in Paris compare to Berlin?,weather_comparison,"{'location1': 'Paris', 'location2': 'Berlin'}"
"Which is warmer, Berlin or Paris?",weather_comparison,"{'location1': 'Berlin', 'location2': 'Paris'}"
Weather difference between Tokyo and my location,weather_comparison,"{'location1': 'Tokyo', 'location2': 'my location'}"
Weather comparison: Toronto versus Dubai,weather_comparison,"{'location1': 'Toronto', 'location2': 'Dubai'}"
How's the weather different in Amsterdam vs Tokyo?,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Tokyo'}"
Compare temperatures in Tokyo and Singapore,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Singapore'}"
"Which city has better weather, Seoul or Sydney?",weather_comparison,"{'location1': 'Seoul', 'location2': 'Sydney'}"
Temperature comparison between Paris and Tokyo,weather_comparison,"{'location1': 'Paris', 'location2': 'Tokyo'}"
What's the weather difference between Rome and Paris?,weather_comparison,"{'location1': 'Rome', 'location2': 'Paris'}"
How's the weather different in London vs Paris?,weather_comparison,"{'location1': 'London', 'location2': 'Paris'}"
How's the weather different in Rome vs New York?,weather_comparison,"{'location1': 'Rome', 'location2': 'New York'}"
Compare weather in New York and Moscow,weather_comparison,"{'location1': 'New York', 'location2': 'Moscow'}"
"Which is warmer, London or Mumbai?",weather_comparison,"{'location1': 'London', 'location2': 'Mumbai'}"
Will it be sunny in here tomorrow?,weather_forecast,{'location': 'here'}
How does the weather in New York compare to Tokyo?,weather_comparison,"{'location1': 'New York', 'location2': 'Tokyo'}"
Weather contrast between Seoul and my location,weather_comparison,"{'location1': 'Seoul', 'location2': 'my location'}"
Is there any rain expected in here?,precipitation_query,{'location': 'here'}
Weather comparison: Moscow versus London,weather_comparison,"{'location1': 'Moscow', 'location2': 'London'}"
Weather forecast for Rome for the next few days,weather_forecast,{'location': 'Rome'}
How do temperatures compare in Paris and Moscow?,weather_comparison,"{'location1': 'Paris', 'location2': 'Moscow'}"
"Which is warmer, Rome or Berlin?",weather_comparison,"{'location1': 'Rome', 'location2': 'Berlin'}"
Weather difference between Paris and Berlin,weather_comparison,"{'location1': 'Paris', 'location2': 'Berlin'}"
How's the weather different in Dubai vs here?,weather_comparison,"{'location1': 'Dubai', 'location2': 'here'}"
"Which is warmer, San Francisco or Rome?",weather_comparison,"{'location1': 'San Francisco', 'location2': 'Rome'}"
Temperature comparison between Rome and my location,weather_comparison,"{'location1': 'Rome', 'location2': 'my location'}"
"Which is warmer, Amsterdam or San Francisco?",weather_comparison,"{'location1': 'Amsterdam', 'location2': 'San Francisco'}"
How's the weather different in Rome vs Seoul?,weather_comparison,"{'location1': 'Rome', 'location2': 'Seoul'}"
What's the weather difference between Paris and London?,weather_comparison,"{'location1': 'Paris', 'location2': 'London'}"
What's the weather going to be like in Singapore tomorrow?,weather_forecast,{'location': 'Singapore'}
What's the weather right now in Seoul?,current_weather,{'location': 'Seoul'}
Compare current conditions in my location and Dubai,weather_comparison,"{'location1': 'my location', 'location2': 'Dubai'}"
How's the weather different in Rome vs Moscow?,weather_comparison,"{'location1': 'Rome', 'location2': 'Moscow'}"
"Which is warmer, here or Rome?",weather_comparison,"{'location1': 'here', 'location2': 'Rome'}"
How does the weather in Amsterdam compare to Moscow?,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Moscow'}"
