text,intent,entities
Weather comparison: New York versus Amsterdam,weather_comparison,"{'location1': 'New York', 'location2': 'Amsterdam'}"
"Which is colder, Moscow or Tokyo?",weather_comparison,"{'location1': 'Moscow', 'location2': 'Tokyo'}"
Compare current conditions in Moscow and current location,weather_comparison,"{'location1': 'Moscow', 'location2': 'current location'}"
"Which is warmer, current location or my location?",weather_comparison,"{'location1': 'current location', 'location2': 'my location'}"
How's the weather different in Tokyo vs Sydney?,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Sydney'}"
"Which is warmer, London or current location?",weather_comparison,"{'location1': 'London', 'location2': 'current location'}"
Weather comparison between current location and Paris,weather_comparison,"{'location1': 'current location', 'location2': 'Paris'}"
Weather contrast between Toronto and current location,weather_comparison,"{'location1': 'Toronto', 'location2': 'current location'}"
What's the weather difference between Dubai and Rome?,weather_comparison,"{'location1': 'Dubai', 'location2': 'Rome'}"
What's the temperature in London?,temperature_query,{'location': 'London'}
What's the weather difference between Tokyo and New York?,weather_comparison,"{'location1': 'Tokyo', 'location2': 'New York'}"
Weather comparison between New York and Seoul,weather_comparison,"{'location1': 'New York', 'location2': 'Seoul'}"
What's the weather difference between Moscow and Paris?,weather_comparison,"{'location1': 'Moscow', 'location2': 'Paris'}"
How's the weather different in Dubai vs Moscow?,weather_comparison,"{'location1': 'Dubai', 'location2': 'Moscow'}"
How's the weather different in here vs New York?,weather_comparison,"{'location1': 'here', 'location2': 'New York'}"
Compare current conditions in here and my location,weather_comparison,"{'location1': 'here', 'location2': 'my location'}"
Weather comparison: Rome versus Seoul,weather_comparison,"{'location1': 'Rome', 'location2': 'Seoul'}"
Will it be sunny in Toronto tomorrow?,weather_forecast,{'location': 'Toronto'}
What's the snow forecast for Moscow?,precipitation_query,{'location': 'Moscow'}
How hot is it in current location?,temperature_query,{'location': 'current location'}
Weather comparison: Moscow versus Tokyo,weather_comparison,"{'location1': 'Moscow', 'location2': 'Tokyo'}"
Compare weather in here and current location,weather_comparison,"{'location1': 'here', 'location2': 'current location'}"
"Which city has better weather, Moscow or Amsterdam?",weather_comparison,"{'location1': 'Moscow', 'location2': 'Amsterdam'}"
How warm is it in Singapore?,temperature_query,{'location': 'Singapore'}
What's the chance of snow in New York?,precipitation_query,{'location': 'New York'}
Will it rain tomorrow in Amsterdam?,weather_forecast,{'location': 'Amsterdam'}
Compare current conditions in Sydney and London,weather_comparison,"{'location1': 'Sydney', 'location2': 'London'}"
Weather difference between Seoul and current location,weather_comparison,"{'location1': 'Seoul', 'location2': 'current location'}"
Weather difference between here and Mumbai,weather_comparison,"{'location1': 'here', 'location2': 'Mumbai'}"
What's the weather going to be like in Singapore tomorrow?,weather_forecast,{'location': 'Singapore'}
How cold is it in Rome?,temperature_query,{'location': 'Rome'}
Weather difference between Sydney and Tokyo,weather_comparison,"{'location1': 'Sydney', 'location2': 'Tokyo'}"
"Which city has better weather, Rome or Paris?",weather_comparison,"{'location1': 'Rome', 'location2': 'Paris'}"
How's the weather different in Berlin vs Toronto?,weather_comparison,"{'location1': 'Berlin', 'location2': 'Toronto'}"
How does the weather in here compare to Amsterdam?,weather_comparison,"{'location1': 'here', 'location2': 'Amsterdam'}"
Current temperature in current location,temperature_query,{'location': 'current location'}
Compare weather in New York and my location,weather_comparison,"{'location1': 'New York', 'location2': 'my location'}"
"Which is warmer, Tokyo or Sydney?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'Sydney'}"
What's the weather going to be like in Sydney tomorrow?,weather_forecast,{'location': 'Sydney'}
What's the temperature in Dubai?,current_weather,{'location': 'Dubai'}
Compare current conditions in Tokyo and Paris,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Paris'}"
How's the weather different in current location vs Dubai?,weather_comparison,"{'location1': 'current location', 'location2': 'Dubai'}"
What's the weather difference between Sydney and my location?,weather_comparison,"{'location1': 'Sydney', 'location2': 'my location'}"
Is it going to rain in current location?,precipitation_query,{'location': 'current location'}
How do temperatures compare in my location and current location?,weather_comparison,"{'location1': 'my location', 'location2': 'current location'}"
Weather difference between Mumbai and Paris,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Paris'}"
Compare current conditions in San Francisco and here,weather_comparison,"{'location1': 'San Francisco', 'location2': 'here'}"
"Which is colder, Paris or my location?",weather_comparison,"{'location1': 'Paris', 'location2': 'my location'}"
How does the weather in Toronto compare to Amsterdam?,weather_comparison,"{'location1': 'Toronto', 'location2': 'Amsterdam'}"
What's the weather difference between my location and San Francisco?,weather_comparison,"{'location1': 'my location', 'location2': 'San Francisco'}"
Compare weather in New York and Paris,weather_comparison,"{'location1': 'New York', 'location2': 'Paris'}"
What's the weather prediction for Singapore?,weather_forecast,{'location': 'Singapore'}
What's the current weather in my location?,current_weather,{'location': 'my location'}
Weather conditions in Paris,current_weather,{'location': 'Paris'}
Compare current conditions in Singapore and Toronto,weather_comparison,"{'location1': 'Singapore', 'location2': 'Toronto'}"
"Which is colder, Berlin or Tokyo?",weather_comparison,"{'location1': 'Berlin', 'location2': 'Tokyo'}"
What's the precipitation chance in Rome?,precipitation_query,{'location': 'Rome'}
What's the weather difference between Rome and here?,weather_comparison,"{'location1': 'Rome', 'location2': 'here'}"
What's the mercury reading in my location?,temperature_query,{'location': 'my location'}
Compare weather in London and Rome,weather_comparison,"{'location1': 'London', 'location2': 'Rome'}"
Weather contrast between Rome and Paris,weather_comparison,"{'location1': 'Rome', 'location2': 'Paris'}"
Weather contrast between Mumbai and Amsterdam,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Amsterdam'}"
Weather comparison: Toronto versus Moscow,weather_comparison,"{'location1': 'Toronto', 'location2': 'Moscow'}"
Compare weather in Moscow and San Francisco,weather_comparison,"{'location1': 'Moscow', 'location2': 'San Francisco'}"
Temperature comparison between Singapore and Moscow,weather_comparison,"{'location1': 'Singapore', 'location2': 'Moscow'}"
Weather comparison: my location versus here,weather_comparison,"{'location1': 'my location', 'location2': 'here'}"
How's the weather different in Seoul vs Mumbai?,weather_comparison,"{'location1': 'Seoul', 'location2': 'Mumbai'}"
Weather report for Rome,current_weather,{'location': 'Rome'}
Compare weather in Toronto and here,weather_comparison,"{'location1': 'Toronto', 'location2': 'here'}"
Precipitation forecast for Amsterdam,precipitation_query,{'location': 'Amsterdam'}
Weather comparison between New York and Singapore,weather_comparison,"{'location1': 'New York', 'location2': 'Singapore'}"
Compare temperatures in Seoul and Sydney,weather_comparison,"{'location1': 'Seoul', 'location2': 'Sydney'}"
Compare weather in Moscow and Amsterdam,weather_comparison,"{'location1': 'Moscow', 'location2': 'Amsterdam'}"
Compare weather in Sydney and Singapore,weather_comparison,"{'location1': 'Sydney', 'location2': 'Singapore'}"
What's the weather going to be like in Toronto tomorrow?,weather_forecast,{'location': 'Toronto'}
How's the weather different in here vs Paris?,weather_comparison,"{'location1': 'here', 'location2': 'Paris'}"
Weather difference between Berlin and here,weather_comparison,"{'location1': 'Berlin', 'location2': 'here'}"
How's the temperature in Sydney?,temperature_query,{'location': 'Sydney'}
Weather difference between Amsterdam and Dubai,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Dubai'}"
Weather contrast between Tokyo and New York,weather_comparison,"{'location1': 'Tokyo', 'location2': 'New York'}"
Weather contrast between Toronto and San Francisco,weather_comparison,"{'location1': 'Toronto', 'location2': 'San Francisco'}"
Weather comparison between here and Sydney,weather_comparison,"{'location1': 'here', 'location2': 'Sydney'}"
What's the weather difference between Sydney and Berlin?,weather_comparison,"{'location1': 'Sydney', 'location2': 'Berlin'}"
What's the weather difference between Seoul and Paris?,weather_comparison,"{'location1': 'Seoul', 'location2': 'Paris'}"
"Which is warmer, Mumbai or Rome?",weather_comparison,"{'location1': 'Mumbai', 'location2': 'Rome'}"
Weather comparison: Seoul versus Sydney,weather_comparison,"{'location1': 'Seoul', 'location2': 'Sydney'}"
Weather contrast between Rome and Singapore,weather_comparison,"{'location1': 'Rome', 'location2': 'Singapore'}"
Weather difference between current location and Rome,weather_comparison,"{'location1': 'current location', 'location2': 'Rome'}"
How do temperatures compare in Seoul and New York?,weather_comparison,"{'location1': 'Seoul', 'location2': 'New York'}"
How do temperatures compare in my location and Dubai?,weather_comparison,"{'location1': 'my location', 'location2': 'Dubai'}"
Compare weather in Amsterdam and Seoul,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Seoul'}"
"Which is warmer, Singapore or Seoul?",weather_comparison,"{'location1': 'Singapore', 'location2': 'Seoul'}"
"Which is warmer, Tokyo or London?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'London'}"
Weather comparison between here and Moscow,weather_comparison,"{'location1': 'here', 'location2': 'Moscow'}"
How does the weather in Mumbai compare to Toronto?,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Toronto'}"
Weather forecast for Seoul for the next few days,weather_forecast,{'location': 'Seoul'}
What's the temp in Rome?,temperature_query,{'location': 'Rome'}
How's the weather today in Mumbai?,current_weather,{'location': 'Mumbai'}
Weather comparison between Tokyo and New York,weather_comparison,"{'location1': 'Tokyo', 'location2': 'New York'}"
Compare weather in Singapore and Paris,weather_comparison,"{'location1': 'Singapore', 'location2': 'Paris'}"
Weather prediction for Moscow,weather_forecast,{'location': 'Moscow'}
How's the weather different in Singapore vs Seoul?,weather_comparison,"{'location1': 'Singapore', 'location2': 'Seoul'}"
Compare weather in Amsterdam and here,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'here'}"
What's the current weather in Moscow?,current_weather,{'location': 'Moscow'}
How does the weather in my location compare to current location?,weather_comparison,"{'location1': 'my location', 'location2': 'current location'}"
Compare weather in Singapore and Sydney,weather_comparison,"{'location1': 'Singapore', 'location2': 'Sydney'}"
How do temperatures compare in Berlin and Seoul?,weather_comparison,"{'location1': 'Berlin', 'location2': 'Seoul'}"
"Which is colder, San Francisco or Berlin?",weather_comparison,"{'location1': 'San Francisco', 'location2': 'Berlin'}"
Temperature comparison between Singapore and Toronto,weather_comparison,"{'location1': 'Singapore', 'location2': 'Toronto'}"
How does the weather in Dubai compare to New York?,weather_comparison,"{'location1': 'Dubai', 'location2': 'New York'}"
"Which city has better weather, Sydney or current location?",weather_comparison,"{'location1': 'Sydney', 'location2': 'current location'}"
Weather contrast between Sydney and my location,weather_comparison,"{'location1': 'Sydney', 'location2': 'my location'}"
Compare temperatures in Mumbai and Rome,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Rome'}"
Rain forecast for Tokyo,precipitation_query,{'location': 'Tokyo'}
How warm is it in Paris?,temperature_query,{'location': 'Paris'}
Weather comparison: Berlin versus here,weather_comparison,"{'location1': 'Berlin', 'location2': 'here'}"
"Which is warmer, London or Seoul?",weather_comparison,"{'location1': 'London', 'location2': 'Seoul'}"
Compare temperatures in Seoul and Singapore,weather_comparison,"{'location1': 'Seoul', 'location2': 'Singapore'}"
What's the chance of snow in Paris?,precipitation_query,{'location': 'Paris'}
"Which is colder, Tokyo or Berlin?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'Berlin'}"
Weather comparison: London versus current location,weather_comparison,"{'location1': 'London', 'location2': 'current location'}"
How's the weather different in here vs San Francisco?,weather_comparison,"{'location1': 'here', 'location2': 'San Francisco'}"
Compare weather in Singapore and Mumbai,weather_comparison,"{'location1': 'Singapore', 'location2': 'Mumbai'}"
"Which is warmer, Dubai or here?",weather_comparison,"{'location1': 'Dubai', 'location2': 'here'}"
What's the rain forecast for New York?,precipitation_query,{'location': 'New York'}
"Which city has better weather, Berlin or Moscow?",weather_comparison,"{'location1': 'Berlin', 'location2': 'Moscow'}"
Weather comparison: Rome versus Singapore,weather_comparison,"{'location1': 'Rome', 'location2': 'Singapore'}"
How do temperatures compare in my location and here?,weather_comparison,"{'location1': 'my location', 'location2': 'here'}"
Compare weather in Toronto and Seoul,weather_comparison,"{'location1': 'Toronto', 'location2': 'Seoul'}"
"Which is warmer, Tokyo or Moscow?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'Moscow'}"
Weather contrast between Rome and San Francisco,weather_comparison,"{'location1': 'Rome', 'location2': 'San Francisco'}"
"Which city has better weather, Moscow or here?",weather_comparison,"{'location1': 'Moscow', 'location2': 'here'}"
How's the weather different in Dubai vs Seoul?,weather_comparison,"{'location1': 'Dubai', 'location2': 'Seoul'}"
Compare temperatures in Amsterdam and my location,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'my location'}"
Weather update for Sydney,current_weather,{'location': 'Sydney'}
Compare weather in London and Tokyo,weather_comparison,"{'location1': 'London', 'location2': 'Tokyo'}"
"Which is warmer, San Francisco or current location?",weather_comparison,"{'location1': 'San Francisco', 'location2': 'current location'}"
"Which is colder, New York or Seoul?",weather_comparison,"{'location1': 'New York', 'location2': 'Seoul'}"
Weather contrast between Berlin and Seoul,weather_comparison,"{'location1': 'Berlin', 'location2': 'Seoul'}"
Weather comparison: here versus Dubai,weather_comparison,"{'location1': 'here', 'location2': 'Dubai'}"
"Which is colder, Singapore or Amsterdam?",weather_comparison,"{'location1': 'Singapore', 'location2': 'Amsterdam'}"
Temperature comparison between San Francisco and Paris,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Paris'}"
What's it like outside in Tokyo?,current_weather,{'location': 'Tokyo'}
What's the weather prediction for Dubai?,weather_forecast,{'location': 'Dubai'}
Weather comparison: Seoul versus current location,weather_comparison,"{'location1': 'Seoul', 'location2': 'current location'}"
Compare temperatures in San Francisco and Singapore,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Singapore'}"
"Which is colder, San Francisco or London?",weather_comparison,"{'location1': 'San Francisco', 'location2': 'London'}"
How's the weather different in Seoul vs Rome?,weather_comparison,"{'location1': 'Seoul', 'location2': 'Rome'}"
Weather comparison between San Francisco and Tokyo,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Tokyo'}"
Weather contrast between New York and Dubai,weather_comparison,"{'location1': 'New York', 'location2': 'Dubai'}"
What's the feels like temperature in New York?,temperature_query,{'location': 'New York'}
Compare current conditions in San Francisco and Seoul,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Seoul'}"
Weather difference between Paris and San Francisco,weather_comparison,"{'location1': 'Paris', 'location2': 'San Francisco'}"
How's the weather different in Sydney vs Toronto?,weather_comparison,"{'location1': 'Sydney', 'location2': 'Toronto'}"
Weather difference between Mumbai and my location,weather_comparison,"{'location1': 'Mumbai', 'location2': 'my location'}"
Compare temperatures in Berlin and Rome,weather_comparison,"{'location1': 'Berlin', 'location2': 'Rome'}"
Weather comparison: San Francisco versus Singapore,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Singapore'}"
Weather difference between Moscow and Sydney,weather_comparison,"{'location1': 'Moscow', 'location2': 'Sydney'}"
Compare weather in New York and Berlin,weather_comparison,"{'location1': 'New York', 'location2': 'Berlin'}"
"Which is colder, Paris or here?",weather_comparison,"{'location1': 'Paris', 'location2': 'here'}"
Weather comparison: current location versus Seoul,weather_comparison,"{'location1': 'current location', 'location2': 'Seoul'}"
What's it like outside in here?,current_weather,{'location': 'here'}
How do temperatures compare in Mumbai and Sydney?,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Sydney'}"
Temperature comparison between current location and Tokyo,weather_comparison,"{'location1': 'current location', 'location2': 'Tokyo'}"
Compare temperatures in Paris and Sydney,weather_comparison,"{'location1': 'Paris', 'location2': 'Sydney'}"
Compare weather in Tokyo and Dubai,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Dubai'}"
"Which is warmer, Rome or London?",weather_comparison,"{'location1': 'Rome', 'location2': 'London'}"
"Which is colder, Seoul or Moscow?",weather_comparison,"{'location1': 'Seoul', 'location2': 'Moscow'}"
Weather contrast between Dubai and Tokyo,weather_comparison,"{'location1': 'Dubai', 'location2': 'Tokyo'}"
Weather contrast between Amsterdam and current location,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'current location'}"
Weather comparison: San Francisco versus Moscow,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Moscow'}"
How warm is it in Toronto?,temperature_query,{'location': 'Toronto'}
Weather comparison between my location and Amsterdam,weather_comparison,"{'location1': 'my location', 'location2': 'Amsterdam'}"
Is there any rain expected in San Francisco?,precipitation_query,{'location': 'San Francisco'}
Weather comparison between Dubai and Seoul,weather_comparison,"{'location1': 'Dubai', 'location2': 'Seoul'}"
How does the weather in San Francisco compare to Berlin?,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Berlin'}"
What's the weather difference between Singapore and Paris?,weather_comparison,"{'location1': 'Singapore', 'location2': 'Paris'}"
"Which is colder, here or Moscow?",weather_comparison,"{'location1': 'here', 'location2': 'Moscow'}"
Temperature comparison between New York and Singapore,weather_comparison,"{'location1': 'New York', 'location2': 'Singapore'}"
Temperature comparison between Moscow and New York,weather_comparison,"{'location1': 'Moscow', 'location2': 'New York'}"
"Which city has better weather, Moscow or Mumbai?",weather_comparison,"{'location1': 'Moscow', 'location2': 'Mumbai'}"
How cold is it in my location?,temperature_query,{'location': 'my location'}
Weather comparison between San Francisco and Moscow,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Moscow'}"
"Which is colder, Tokyo or current location?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'current location'}"
Weather comparison between Rome and my location,weather_comparison,"{'location1': 'Rome', 'location2': 'my location'}"
Weather comparison: my location versus Dubai,weather_comparison,"{'location1': 'my location', 'location2': 'Dubai'}"
What's the temperature going to be in Mumbai?,temperature_query,{'location': 'Mumbai'}
Weather difference between Paris and current location,weather_comparison,"{'location1': 'Paris', 'location2': 'current location'}"
What's the precipitation chance in Paris?,precipitation_query,{'location': 'Paris'}
Compare temperatures in my location and here,weather_comparison,"{'location1': 'my location', 'location2': 'here'}"
